id,noc,job,title1,title2,title3,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,topSkill1,topSkill2,topSkill3,s1DataAnalysis,s2DecisionMaking,s3FindingInformation,s4JobTaskPlanningandOrganizing,s5MeasurementandCalculation,s6MoneyMath,s7NumericalEstimation,s8OralCommunication,s9ProblemSolving,s10Reading,s11SchedulingorBudgetingandAccounting,s12DigitalTechnology,s13DocumentUse,s14Writing,s15CriticalThinking,f1Science&Agriculture,f2Engineering,f3Humanities,f4SocialScience,f5FineArts,f6MathAndComputerScience,f7Arts&Education,f8Education(teachertraining),f9Law,f10Health,"f11Health,Nursing&ClinicalLaboratory",f12Business,"f13Medical,Dental&Veterinary",d1Agriculture&BiologicalScience,d2Forestry,d3Architecture&LandscapeArchitecture,d4Humanities,d5SocialSciences,d6Fine&AppliedArts,d7ComputerScience,d8OtherArts&Science,d9Education(teachertraining),d10Engineering,d11Law,d12Mathematics,d13Kinesiology/Recreation/PhysicalEducation,d14Theology,d15PhysicalSciences,d16Therapy&Rehabilitation,"d17Health,Nursing&ClinicalLaboratory",d18Business&Commerce,"d19Medical,Dental&Veterinary",jobbankPage,titlesNum,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,title_32,title_33,title_34,title_35,title_36,title_37,title_38,title_39,title_40,title_41,title_42,title_43,title_44,title_45,title_46,title_47,title_48,title_49,title_50,title_51,title_52,title_53,title_54,title_55,title_56,title_57,title_58,title_59,title_60,title_61,title_62,title_63,title_64,title_65,title_66,title_67,title_68,title_69,title_70,title_71,title_72,title_73,title_74,title_75,title_76,title_77,title_78,title_79,title_80,title_81,title_82,title_83,title_84,title_85,title_86,title_87,title_88,title_89,title_90,title_91,title_92,title_93,title_94,title_95,title_96,title_97,title_98,title_99,title_100
253,6344,"Jewellers, jewellery and watch repairers and related occupations                                                     ","appraiser, jewellery ",apprentice jeweller ,bench moulder - jewellery ,505,0,1.733333333,0.95,117,Sales and service occupations,9,Service supervisors and specialized service occupations,17.19,32,30,17,38,Document Use,Reading,Oral Communication,3,9,6,3,7,3,4,12,8,16,4,11,18,9,5,195,0,0,0,255,0,55,0,0,0,0,0,0,0,0,0,0,0,255,0,55,0,0,0,0,0,0,195,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6344,63,"appraiser, jewellery",apprentice jeweller,bench moulder - jewellery,brass or bronze chaser,"chaser, jewellery",clockmaker,clock repairer,clock repairman,clock repairman/woman,clock repairwoman,custom bracelet maker,custom brooch maker,custom jewellery mounter,custom locket maker,"cutter, designs - jewellery",design cutter - jewellery,diamond bruter,diamond cutter,diamond expert,diamond grader - jewellery manufacturing,diamond marker,diamond polisher,diamond sawyer,diamond selector - jewellery manufacturing,diamond setter,gem cutter,gem expert,gemologist,gem setter,"hammersmith, jewellery",jeweller,jewellery appraiser,jewellery chaser,jewellery hammersmith,jewellery model maker,jewellery moulder,jewellery repairer,jewellery repairman,jewellery repairman/woman,jewellery repairwoman,jewellery sample maker,jewel setter,lapidary,"marker, diamonds","model maker, jewellery",pearl cutter,pearl setter,plater - jewellery manufacturing,precious stone setter,"sample maker, jewellery","sawyer, diamonds",setter - jewellery manufacturing,silver chaser,stonecutter - jewellery,stonesetter - jewellery,watchmaker,watch repairer,watch repairer apprentice,watch repairman,watch repairman apprentice,watch repairman/woman,watch repairwoman,watch repairwoman apprentice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,6345,Upholsterers,aircraft custom upholsterer ,aircraft furnishing technician ,aircraft interior technician ,250,0,1.25,0.39,142,Sales and service occupations,9,Service supervisors and specialized service occupations,19,38,36,20,48,Reading,Document Use,Digital Technology,5,10,7,3,7,3,4,15,10,19,6,16,17,13,7,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6345,31,aircraft custom upholsterer,aircraft furnishing technician,aircraft interior technician,aircraft patternmaker and upholsterer,aircraft upholsterer,automobile upholsterer,automotive upholsterer,casket upholsterer,chair upholsterer,custom upholsterer,furniture upholsterer,industrial upholsterer,"patternmaker and upholsterer, aircraft",patternmaker-upholsterer,preparation upholsterer,production upholsterer,railway car upholsterer,"repairer, upholstery","repairman, upholstery","repairwoman, upholstery",re-upholsterer,upholsterer,"upholsterer, aircraft","upholsterer, railway car",upholstery mechanic,upholstery repairer,upholstery repairman,upholstery repairwoman,vehicle upholstery repairer,vehicle upholstery repairman,vehicle upholstery repairwoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,6346,Funeral directors and embalmers,apprentice embalmer ,assistant funeral director ,"director, funeral ",1420,0,2.1,0.37,143,Sales and service occupations,9,Service supervisors and specialized service occupations,21,39,36,20,48,Reading,Document Use,Digital Technology,5,10,7,3,7,3,4,15,10,19,6,16,17,14,7,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6346,12,apprentice embalmer,assistant funeral director,"director, funeral",embalmer,embalmer apprentice,funeral director,"funeral director, assistant",funeral home director,funeral services director,mortician,undertaker,undertaker assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,6421,Retail salespersons,aluminum products salesman - retail ,aluminum products salesperson - retail ,aluminum products saleswoman - retail ,115955,1,2.851176917,0.92,118,Sales and service occupations,9,Sales representatives and salespersons - wholesale and retail trade,12,34,31,9,44,Reading,Oral Communication,Document Use,2,9,5,2,3,4,2,19,8,20,0,15,17,5,7,6955,7325,5165,11275,11395,3825,15780,4640,4525,3445,10090,31535,0,2560,595,665,4705,11275,11395,3400,15780,4640,6660,4525,425,1830,460,3800,1615,10090,31535,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6421,100,aluminum products salesman - retail,aluminum products salesperson - retail,aluminum products saleswoman - retail,aluminum siding salesman - retail,aluminum siding salesperson - retail,aluminum siding saleswoman - retail,appliance salesman - retail,appliance salesperson - retail,appliance saleswoman - retail,art sales consultant - retail,art salesperson,audio equipment consultant - retail,audio equipment salesman - retail,audio equipment salesperson,audio equipment salesperson - retail,audio equipment saleswoman - retail,automobile accessories salesman - retail,automobile accessories salesperson - retail,automobile accessories saleswoman - retail,automobile leasing agent,automobile leasing representative,automobile-rental counter representative,automobile salesperson,automobile sales representative - retail,bakery clerk,bakery counter clerk,bakery goods sales clerk,beer store sales clerk,bicycle salesman - retail,bicycle salesperson - retail,bicycle saleswoman - retail,boat and marine equipment salesman - retail,boat and marine equipment salesperson - retail,boat and marine equipment saleswoman - retail,book salesman - retail,book salesperson - retail,book saleswoman - retail,book store clerk - retail,bouquet salesperson,bridal sales consultant - retail,building supplies salesman - retail,building supplies salesperson - retail,building supplies saleswoman - retail,butcher shop clerk,cable television service salesperson,cable-TV and pay-TV sales representative,camera equipment salesman - retail,camera equipment salesperson - retail,camera equipment saleswoman - retail,camera salesman - retail,camera salesperson - retail,camera saleswoman - retail,card shop clerk,car leasing representative,car rental agent,car rental clerk,car-rental counter representative,car salesman - retail,car salesperson - retail,car sales representative - retail,car saleswoman - retail,children's clothing sales clerk,children's wear sales clerk,children's wear salesman - retail,children's wear salesperson - retail,children's wear saleswoman - retail,china and crystal salesman - retail,china and crystal salesperson - retail,china and crystal saleswoman - retail,"clerk, bakery counter","clerk, deli counter","clerk, meat counter","clerk, retail sales",clock shop clerk,clothing salesman - retail,clothing salesperson,clothing salesperson - retail,clothing saleswoman - retail,commissioned salesman - retail,commissioned salesperson - retail,commissioned saleswoman - retail,compact disc sales clerk,computer salesman - retail,computer salesperson - retail,computer saleswoman - retail,confectionery sales clerk,convenience store clerk,corner store clerk,cosmetics salesman - retail,cosmetics salesperson - retail,cosmetics saleswoman - retail,"counter clerk, bakery","counter clerk, deli","counter clerk, meats",counter clerk - retail,"counter representative, car rental",custom drapery salesman - retail,custom drapery salesperson - retail,custom drapery saleswoman - retail,customer service sales clerk
257,6511,Maitres d'hotel and hosts/hostesses,chief hostess - food services ,chief host - food services ,chief host/hostess - food services ,565,0,2.761904762,0.97,113,Sales and service occupations,9,Service representatives and other customer and personal services occupations,12,31,29,17,37,Document Use,Reading,Oral Communication,3,8,5,3,7,3,4,12,8,16,3,11,17,9,4,0,0,95,110,95,0,135,0,0,0,30,100,0,0,0,0,95,110,95,0,135,0,0,0,0,0,0,0,0,30,100,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6511,23,chief hostess - food services,chief host - food services,chief host/hostess - food services,dining room host,dining room hostess,dining room host/hostess,"host, dining room","hostess, dining room","hostess, food service","hostess, restaurant",hostess - restaurant or cocktail lounge,"host, food service","host/hostess, dining room","host/hostess, food service","host/hostess, restaurant",host/hostess - restaurant or cocktail lounge,"host, restaurant",host - restaurant or cocktail lounge,maître d',maître d'hôtel,restaurant host,restaurant hostess,restaurant host/hostess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,6513,Food and beverage servers,assistant waiter - food and beverage services ,assistant waiter/waitress - food and beverage services ,assistant waitress - food and beverage services ,21980,0,2.912429379,0.94,114,Sales and service occupations,9,Service representatives and other customer and personal services occupations,11.6,31,29,17,37,Document Use,Reading,Oral Communication,3,9,6,3,6,3,4,12,8,16,4,11,17,9,4,610,155,1020,3195,2720,245,3505,1295,1065,830,2380,4960,0,505,60,0,995,3195,2720,140,3505,1295,155,1065,105,470,25,45,360,2380,4960,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6513,86,assistant waiter - food and beverage services,assistant waiter/waitress - food and beverage services,assistant waitress - food and beverage services,banquet captain,banquet headwaiter,banquet headwaiter/headwaitress,banquet headwaitress,banquet server,banquet waiter,banquet waiter/waitress,banquet waitress,bar service waiter,bar service waiter/waitress,bar service waitress,beer server,buffet waiter,buffet waiter/waitress,buffet waitress,camp waiter,camp waiter/waitress,camp waitress,captain waiter,captain waiter - food and beverage services,captain waiter - formal service,captain waiter/waitress,captain waiter/waitress - food and beverage services,captain waiter/waitress - formal service,captain waitress,captain waitress - food and beverage services,captain waitress - formal service,caterer waiter,caterer waiter/waitress,caterer waitress,chief wine steward,club car attendant,cocktail waiter,cocktail waiter/waitress,cocktail waitress,commissary waiter,commissary waiter/waitress,commissary waitress,dining car steward,dining car waiter,dining car waiter/waitress,dining car waitress,dining room captain,dining room steward,food and beverage server,formal service waiter,formal service waiter/waitress,formal service waitress,headwaiter - food and beverage services,headwaiter/headwaitress - food and beverage services,headwaitress - food and beverage services,hotel waiter - formal service,hotel waiter/waitress - formal service,hotel waitress - formal service,lounge waiter,lounge waiter/waitress,lounge waitress,mess waiter,mess waiter/waitress,mess waitress,restaurant waiter - formal service,restaurant waiter/waitress - formal service,restaurant waitress - formal service,room service waiter,room service waiter/waitress,room service waitress,server - food and beverage services,sommelier,steward - food and beverage services,waiter,waiter - drive-in restaurant,waiter - food and beverage services,waiter/waitress,waiter/waitress - drive-in restaurant,waiter/waitress - food and beverage services,waitress,waitress - drive-in restaurant,waitress - food and beverage services,wine server,wine steward,wine waiter,wine waiter/waitress,wine waitress,,,,,,,,,,,,,,
259,6521,Travel counsellors,"agent, booking - travel agency ","agent, travel ","agent, travel information ",5830,0,2.977011494,0.099,154,Sales and service occupations,9,Service representatives and other customer and personal services occupations,17.5,41,38,21,53,Reading,Digital Technology,Oral Communication,6,10,7,3,6,4,4,16,10,21,7,19,16,15,8,0,0,45,245,100,15,125,140,35,10,60,5055,0,0,0,0,45,245,100,0,125,140,0,35,15,0,0,0,10,60,5055,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6521,18,"agent, booking - travel agency","agent, travel","agent, travel information",booking agent - travel agency,"consultant, travel","counsellor, travel","counsellor, travel centre","information agent, travel",reservation agent - travel agency,reservation sales agent - travel agency,tourist information counsellor,travel agent,travel centre counsellor,travel consultant,travel counsellor,travel information agent,travel specialist,visitor information counsellor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,6522,Pursers and flight attendants,aircraft flight attendant ,airline purser ,"attendant, commissary - air transport ",1155,0,2.764705882,0.35,145,Sales and service occupations,9,Service representatives and other customer and personal services occupations,23,39,36,20,49,Reading,Digital Technology,Digital Technology,6,10,7,3,7,3,4,15,10,20,6,17,17,14,7,50,0,15,145,120,0,205,15,0,30,35,540,0,50,0,0,15,145,120,0,205,15,0,0,0,0,0,0,30,35,540,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6522,24,aircraft flight attendant,airline purser,"attendant, commissary - air transport","attendant, flight","chief steward, ship",commissary attendant - air transport,CSD (customer service director) - water transportation,customer service director (CSD) - water transportation,customer service director - water transportation,"director, flight service","director, passenger service - water transportation",flight attendant,flight purser,flight service director,in-charge flight attendant,in-flight service manager,"manager, in-flight service",passenger service director - water transportation,"purser, airline",purser - air transportation,purser - water transport,ship purser,ship supply officer,"supply officer, ship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,6523,Airline ticket and service agents,"agent, cargo - airline ","agent, check-in - airline ","agent, commissary - airline ",800,0,2.473684211,0.61,133,Sales and service occupations,9,Service representatives and other customer and personal services occupations,21.9,36,34,19,44,Reading,Document Use,Oral Communication,5,9,6,3,7,3,4,14,9,18,5,14,17,12,6,0,0,0,50,0,15,40,0,20,0,0,675,0,0,0,0,0,50,0,15,40,0,0,20,0,0,0,0,0,0,675,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6523,57,"agent, cargo - airline","agent, check-in - airline","agent, commissary - airline","agent, counter services - airline","agent, customer sales - airline","agent, customer service - airline","agent, load control - airline","agent, passengers - airline","agent, reservations - airline","agent, station - airline","agent, station services - airline",agent ticket and information - airline,"agent, tickets - airline",airline baggage agent,airline cargo agent,airline customer service representative,airline load planner,airline passenger agent,airline reservation agent,airline sales and service agent,airline ticket agent,baggage agent - airline,"baggage tracer, airline",baggage tracing agent - airline,cargo agent - airline,cargo customer service representative - airline,certified load control agent - airline,certified load planner - airline,check-in agent - airline,"clerk, reservations - airline",client service representative - airline,commissary agent - airline,"counter services agent, airline",customer sales agent - airline,"customer service agent, airline",customer service representative - airline,flight agent,load agent - airline,load control agent - airline,"load planner, airline","passenger agent, airline",passenger sales agent - airline,passenger sales representative - airline,passenger service representative,passenger service representative - airline,"representative, client service - airline","representative, customer service - airline",reservation agent - airline,"reservation agent, airline",reservation clerk - airline,reservation sales agent - airline,"sales agent, passengers - airline","station agent, airline",station services agent - airline,"ticket agent, airline",ticket and information agent - airline,"tracer, baggage - airline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,6525,Hotel front desk clerks,"clerk, front desk - hotel ","clerk, front office - hotel ","clerk, hotel ",1690,0,2.515151515,0.94,116,Sales and service occupations,9,Service representatives and other customer and personal services occupations,14,32,29,17,37,Document Use,Reading,Oral Communication,3,9,6,3,7,3,4,12,8,16,4,11,17,9,4,0,0,35,0,30,30,70,20,20,25,25,1435,0,0,0,0,35,0,30,30,70,20,0,20,0,0,0,0,25,25,1435,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6525,36,"clerk, front desk - hotel","clerk, front office - hotel","clerk, hotel","clerk, hotel front desk","clerk, night - hotel","clerk, reservations - hotel","clerk, room - hotel",day clerk - hotel,"desk clerk, hotel",front desk agent,"front desk clerk, hotel",front desk hotel clerk,"front office clerk, hotel",front office hotel clerk,guest service agent,guest service representative,guest service representative - hotel,guest services agent - hotel,hotel clerk,"hotel clerk, front office",hotel concierge,hotel front desk clerk,hotel front office clerk,hotel night auditor,hotel receptionist,night auditor - hotel,night clerk,night clerk - hotel,reception clerk - hotel,"receptionist, hotel",reservations clerk - hotel,room clerk,room clerk - hotel,room service clerk - hotel,"service agent, guests - hotel",superintendent of services - hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,6531,Tour and travel guides,adventure travel site interpreter ,bicycle tour guide ,boat tour guide ,110,0,3.6,0.91,116,Sales and service occupations,9,Service representatives and other customer and personal services occupations,13,32,30,17,38,Document Use,Reading,Oral Communication,3,9,6,3,7,3,4,12,8,16,4,11,17,9,4,0,0,0,0,0,0,75,25,0,0,0,10,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,10,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6531,37,adventure travel site interpreter,bicycle tour guide,boat tour guide,bus tour guide,calèche driver,calèche operator,"escort, tour","escort, travel",establishment guide,factory tour guide,"guide, establishment","guide, horse-drawn vehicle sightseeing tours","guide, sightseeing","guide, travel",horse-drawn vehicle sightseeing tour guide,"hostess, ski resort","host/hostess, ski resort","host, ski resort",industrial site interpreter,"interpreter, adventure site","interpreter, industrial site",local tour guide,mine guide,plant tour guide,sightseeing guide,"sightseeing tour guide, horse-drawn vehicles","site interpreter, adventure travel",ski resort host,ski resort hostess,ski resort host/hostess,tour director,tour escort,tour guide,tourist guide,travel escort,travel guide,walking tour guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,6533,Casino occupations,baccarat croupier ,blackjack croupier ,casino dealer ,710,0,2.428571429,0.734,128,Sales and service occupations,9,Service representatives and other customer and personal services occupations,22,35,32,19,42,Reading,Document Use,Oral Communication,4,9,6,3,7,3,4,14,9,18,5,13,17,11,6,0,145,0,85,15,0,25,0,40,135,10,255,0,0,0,0,0,85,15,0,25,0,145,40,0,90,0,0,45,10,255,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6533,35,baccarat croupier,blackjack croupier,casino dealer,casino runner,casino slot machine attendant,counting attendant - casino,croupier,"croupier, baccarat","croupier, blackjack",croupier - casino,"croupier, pai gow","croupier, pai gow domino","croupier, pai gow poker","croupier, poker","croupier, roulette","croupier, sic bo","croupier, super pan 9","croupier, twenty-one","dealer, casino",gambling table operator,gaming table dealer,gaming table operator - casino,keno dealer,"keno runner, casino",keno writer,"operator, gambling table",pai gow croupier,pai gow domino croupier,pai gow poker croupier,poker croupier,roulette croupier,"runner, casino",sic bo croupier,"slot machine attendant, casino",super pan 9 croupier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,6541,Security guards and related security service occupations,air courier guard ,airport security guard ,alarm investigator ,19805,0,2.709770115,0.84,119,Sales and service occupations,9,Service representatives and other customer and personal services occupations,13.05,33,30,17,39,Reading,Reading,Oral Communication,4,9,6,3,6,3,4,13,8,17,4,12,17,10,5,775,1570,285,1345,455,570,2060,230,8495,220,540,3260,0,95,30,25,255,1345,455,530,2060,230,1545,8495,40,90,30,650,130,540,3260,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6541,96,air courier guard,airport security guard,alarm investigator,alarm signal investigator,alarm signal specialist,armoured car driver,armoured car guard,ATM (automatic teller machine) guard,"attendant, gate - security",automatic teller machine (ATM) guard,bodyguard (except police),bouncer,bouncer - security,business establishment investigator - security,cabin baggage inspector,carry-on baggage inspector,commissionaire,commissionaire - security,convoy guard,corporate security officer,crossing guard,"detective, private","floorman, retail store","floorman/woman, retail store","floorwalker, retail store","floorwoman, retail store",gate attendant - security,gateman,gateman/woman,gatewoman,"guard, armoured car","guard, security",hand baggage inspector,hand luggage inspector,house detective,investigations officer - postal service,"investigator, business establishment","investigator, private",lie detector examiner,loss prevention officer - retail,loss prevention officers supervisor,mystery shopper,night guard,night watchman,night watchman/woman,night watchwoman,"officer, corporate security","officer, investigations - postal service","officer, loss prevention - retail","officer, postal inspection","officer, security analysis - postal service",patrolman - security,patrolman/woman - security,patrol officer - security,patrolwoman - security,plant gatekeeper,plant guard,polygraph examiner,polygraphist,polygraph operator,postal inspection officer,postal service inspector,preboarding security guard,private detective,private investigator,private investigators supervisor,private police agents and investigators supervisor,private policemen/women and investigators supervisor,private security officer,residential alarm system specialist,retail investigator,retail loss investigator,retail loss prevention officer,retail store floorman,retail store floorman/woman,retail store floorwalker,retail store floorwoman,school crossing guard,security alarm system consultant,security analysis officer - postal service,security and investigations officer,security consultant (except computer systems),security guard,security guard - explosives,security investigator,security officer,"security officer, private",security specialist (except computer systems),shopping investigator - security,store detective,"supervisor, loss prevention officers","supervisor, private investigators","supervisor, private police agents and investigators","supervisor, private policemen/women and investigators",theft prevention officer,vault custodian,,,,
266,6551,Customer services representatives - financial institutions,accounts information service clerk - financial institution ,bank customer service officer ,bank teller ,17920,0,3.114006515,0.55,134,Sales and service occupations,9,Service representatives and other customer and personal services occupations,17.95,37,34,19,45,Reading,Document Use,Digital Technology,5,9,6,3,7,3,4,14,9,18,5,15,17,12,6,230,135,455,2410,685,490,1640,405,625,485,745,9615,0,105,0,0,425,2410,685,430,1640,405,135,625,60,190,30,125,295,745,9615,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6551,17,accounts information service clerk - financial institution,bank customer service officer,bank teller,credit union teller,current account representative - financial services,customer service agent - financial institution,"customer service officer, bank",customer service representative - financial services,financial customer service representative,foreign exchange teller - financial services,head teller - financial services,proof teller - bank,savings account teller - financial services,senior teller - financial services,teller - financial services,teller trainee,trust company teller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,6552,Other customer and information services representatives,accounts information clerk ,adjustment clerk ,"attendant, tourist booth ",41175,0,2.854098361,0.55,134,Sales and service occupations,9,Service representatives and other customer and personal services occupations,18,37,34,19,45,Reading,Document Use,Digital Technology,5,9,6,3,7,3,4,14,9,18,5,15,17,12,6,1505,2085,1375,4000,2370,2700,4280,960,2190,1160,3280,15270,0,430,65,40,1310,4000,2370,2585,4280,960,2045,2190,115,390,65,1010,770,3280,15270,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6552,68,accounts information clerk,adjustment clerk,"attendant, tourist booth","attendant, tourist information office",automobile dealerships service representative,bill complaints investigator,business office service representative - telecommunications,bus information clerk,bus schedule information clerk,bus service information clerk,call centre agent - customer service,"claim clerk, lost or damaged goods","clerk, customer service","clerk, maintenance service",client service clerk,compensation agent,complaints adjuster,complaints clerk - customer service,complaints clerk - telephone system,complaints specialist - customer service,contact centre agent - customer service,counter enquiries clerk,courtesy desk clerk,customer information service clerk - insurance,customer information service representative - retail,customer relations clerk,customer satisfaction representative,customer service adviser,customer service agent,customer service assistant,customer service clerk,customer service monitor - telephone system,customer service operator - telephone system,customer service representative - call centre,customer service representative - insurance,department store information clerk,enquiries clerk,express and freight information clerk,hospital information clerk,hotel information clerk - contact centre,inbound customer service representative - contact centre,information clerk - customer service,"investigator, bill complaints",kiosk information clerk,lost-and-found clerk,lost-and-found desk clerk,lost claims clerk,lost or damaged goods claim clerk,maintenance service clerk,merchandise exchange clerk,order clerk - customer services,order desk agent,outbound customer service representative - contact centre,price information clerk,public relations clerk,road transport terminal attendant,route supply and return clerk,service adviser,service advisor - auto repair,service consultant - auto repair,"service representative, business office - telecommunications",service writer - auto repair,supply and return clerk,telephone enquiries clerk,tourist booth attendant,tourist information clerk,tourist information office attendant,tourist information officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,6561,"Image, social and other personal consultants                                                                         ","adviser, weight loss ","colour analyst, fashion ","colour consultant, fashion ",50,0,3,0.424,140,Sales and service occupations,9,Service representatives and other customer and personal services occupations,17.81,38,35,20,47,Reading,Document Use,Digital Technology,5,10,7,3,7,3,4,15,9,19,6,16,17,13,7,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6561,42,"adviser, weight loss","colour analyst, fashion","colour consultant, fashion","consultant, corporate image","consultant, etiquette","consultant, fashion","consultant, fashion and wardrobe","consultant, fashion colours","consultant, image","consultant, make-up","consultant, personal image","consultant, personal improvement","consultant, personal wardrobe","consultant, professional image","consultant, public speaking","consultant, wardrobe","consultant, wedding services","consultant, weight loss",corporate image consultant,"counsellor, personal image",etiquette consultant,fashion and wardrobe consultant,fashion colour analyst,fashion colour consultant,fashion consultant,image consultant,image co-ordinator,make-up consultant,personal image consultant,personal image counsellor,personal improvement consultant,personal style co-ordinator,personal wardrobe consultant,professional image consultant,public image consultant - personal consultants,public speaking consultant,social consultant,wardrobe consultant,wedding consultant,wedding services consultant,weight loss adviser,weight loss consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,6562,"Estheticians, electrologists and related occupations                                                                 ","artist, tattoo ",beautician ,beauty care specialist ,8810,0,2.169014085,0.424,138,Sales and service occupations,9,Service representatives and other customer and personal services occupations,14,37,35,19,46,Reading,Document Use,Digital Technology,5,9,6,3,6,3,4,15,9,19,6,16,17,13,7,0,0,155,70,305,0,7065,0,150,0,445,620,0,0,0,0,155,70,305,0,7065,0,0,150,0,0,0,0,0,445,620,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=6562,51,"artist, tattoo",beautician,beauty care specialist,beauty culture operator,beauty culturist,beauty treatment operator,body piercer,"consultant, hair replacement",cosmetician,cosmetologist,depilator,"depilator, wax",dermal therapist,electrologist,electrolysis operator,electrolysis technician,esthetician,facial treatment operator,hair removal specialist,hair replacement consultant,hair replacement technician,hair weaver,henna tattoo artist,manicurist,mehndi tattoo artist,nail care technician,nails and lashes applicator,"operator, beauty culture","operator, beauty treatment","operator, electrolysis","operator, facial treatment",pedicurist,registered dermal therapist,scalp treatment specialist,skin care consultant,skin care specialist,skin care technician,"specialist, beauty care","specialist, hair removal","specialist, scalp treatment","specialist, wax depilation",tattoo artist,tattooer,tattooist,"technician, electrolysis","technician, hair replacement","technician, thermology and electrolysis",thermology and electrolysis technician,trichologist,wax depilation specialist,wax depilator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
